word,definition,weight
absolute monarchy,  n. the form of government in which a hereditary ruler (usually a king or queen) governed a country without  any limits or restrictions: An absolute monarchy was based on the idea that the king or queen was chosen by God to rule.,9
Academy Awards,"  See: Oscar, USAGE NOTE.",9
accident-prone,  adj. likely to have accidents: She is always hurting herself by falling; she's accident-prone.,9
accommodating,"/kmdet/  adj. helpful, cooperative: The hotel staff is very  accommodating with its guests. -adv.  accommodatingly.",9
accommodation,"/kmden/  n. [C;U] 1 pl. rooms and other parts (restaurants, swimming pool, etc.), esp. in a hotel; lodgings: The accommodations at that hotel are first-class. 2 arrangements made for s.o.: We had to make special accommodations for food because our friend is a vegetarian.",9
accompaniment,"/kmpnimnt, kmpni/  n. [U] 1 s.t. that goes along with s.t. else 2 music played to go with a soloist (another musician, singer, dancer, etc.): The singer's accompaniment was piano music.",9
accomplishment,"/kmplmnt/  n. a difficult task done well, success, (syn.) an achievement: Climbing that high mountain was an accomplishment for the hikers.",9
account balance,"  n. the amount of money in a bank account (checking, savings, etc.) at any time: Our checking account balance is $486.42.",9
account executive,"  n. a person who takes care of a customer's account, a sales representative: The account executive from our insurance company called this morning to ask about our policy.",9
accountability,/kantblti/  n. [U] responsibility: The accountability for the project's success is hers.,9
accreditation,"/krdten/  n. [C;U] approval, (syn.) endorsement: Our school received accreditation from the state education department.",9
Achilles' heel,/klizhil/  n. fig. (from Greek mythology) a person's major weakness: He can't stand pressure; that is his Achilles' heel.,9
acknowledgment,"/knldmnt/  n. answer, response: I received an acknowledgment of my order in the mail.",9
acquired immune deficiency syndrome (AIDS),/edz/  n. a disease of the immune system caused by the HIV virus: The acquired immune deficiency syndrome is called AIDS in English and SIDA in Spanish and French.,9
across-the-board,"  adj. complete, including a whole group of things or people: The company gave an across-the-board salary increase of 5 percent.",9
administration,"/dmnstren/  n. 1 [C] in the USA, the executive branch of the federal government, esp. the President: The administration in Washington is usually criticized by the newspapers and TV. 2 [U] control of the business, management: The administration of a company requires hard work.",9
administrative,"/dmnstretv, str/  adj. managing, controlling the business  of: The administrative work in the company  is done by four men and women. -adv. administratively.",9
administrative assistant,  n. a secretary who performs many clerical tasks: I work with an administrative assistant who answers the phone and organizes meetings for me.,9
administrator,/dmnstretr/  n. a person who supervises or manages: She is an administrator in the Department of Health.,9
advertisement,"/dvrtazmnt, dvrtz, dvrts/  n. a notice of a product or service: We place advertisements about our products in the newspapers every week. See: commercial, USAGE NOTE.",9
advisor or adviser,"/dvazr/  n. a person who gives opinions to s.o. on what to do, (syn.) a counselor: My college advisor said I should take courses in mathematics.",9
affirmative action,"  n. [U] employment practices that look for and encourage minorities, women, and the handicapped to apply for jobs: Our company has an affirmative action program to avoid discrimination in hiring.",9
aforementioned,"/frmnnd/  adj.frml. stated before, said earlier in writing or speech: The aforementioned person was at the scene of the accident.",9
African-American,"/frkn/  n.adj. an American of African descent: He is an <n.> African-American (or) <adj.> is African American. See: Black.Usage Note: Compare African-American and Black. In the USA, the terms African-American and Black are both used to identify Americans of African descent. Some people prefer to use the term African-American, others prefer the term Black.",9
Afro-American,  n.adj. old usage an American of African descent: She is an <n.> Afro-American (or) <adj.> is Afro-American. See: African-American.,9
