word,definition,weight
a,"//  ;strong form /e/ or an indef. article 1 used before a noun or noun phrase to show one person or thing: A man stopped me to ask what time it was. 2 used before terms that show a general number, amount, or quantity (a few, a lot, etc.): A lot of people went to the concert.||That item costs $10 a pound (a dozen, a ton, etc.). See: an USAGE NOTE; APIECE.",1
AC,/esi/  1 abbr. of alternating current: Household electricity in the USA is AC. 2 abbr. for air conditioner: Will you turn on the AC?,1
ad,/d/  n.infrml. short for advertisement,2
ah,"//  exclam. expression of surprise, disgust, pain, understanding, pleasure, etc.: (disgust) Ah! This is a waste of time!||(pleasure) Ahhhhh! The taste of a cold beer on a hot day is great!",1
an,"/n/  ; strong form /n/indef. article one, some: I have an idea for a good vacation; let's go to the mountains.Usage Note: Use an before vowel sounds: an apple||an expensive gift. Use a before consonant sounds: a door||a good book. Note that the sound of the following word, not its spelling, determines whether to use a or an: an umbrella but a unit; an hour (h is silent) but a historical novel (h is sounded); a YMCA but an RV.",2
as,"/z/  ; strong form /z/adv. 1 to the same amount, just as much as s.o. or s.t. else: He is blind as a bat. 2 for example, for instance: We enjoy playing sports, such as golf and tennis.  conj. 1 to the same extent (degree, amount): She is as intelligent as she is pretty. 2 because: He fell asleep on the sofa, as he was so  tired. 3 in the same way: Walk as fast as I am  walking.  pron. that, which, or who, used after such or same: He thinks the same as I do. prep. 1 in the role of: He works as a business consultant. 2 in the same way: We agree as a group on how to handle the matter. 3 as far as it goes: to a limited extent, not enough: That report is acceptable as far as it goes, but it leaves out important ideas. 4 as for: with regard to: As for raising salaries, we should discuss that next week. 5 as if: in such a way that it would seem to be true (or not true); as though: (true) He is acting as if he's tired. ||(untrue) He's spending money as if he were a millionaire. 6 as is: in its present condition, unchanged: I offered my car for sale as is, without any repairs. 7 as it were: as if it is so, when it isn't: This so-called antique, as it were, is a fake. 8 infrml.fig. as long as your arm: extensive, very lengthy: She has a shopping list as long as your arm. 9 as such: the way it is, in its present state or condition: The plan is big and as such requires a lot of money to make it succeed. 10 as though: apparently, as if: He acts as though he owns this company, but he doesn't. 11 such as: for example, for instance: I need some supplies, such as pencils, a notebook, and a ruler.",1
at,"/t/  ; strong form /t/prep. 1 toward, in the direction of: I looked at her and smiled. 2 during, while: He works at night. 3 located in, in the position of: The important information is at the bottom of the page. 4 in the location of: She is at her office. 5 related to time: He leaves at five o'clock. 6 doing, engaged in: She is hard at work on a project. 7 in the  condition of: The country is at peace now. 8 in the manner of: The horse ran off at a  gallop. 9 in a superlative description: at most, at least, at best, at worst, etc.: At least you can tell me what's going on here! 10 at all: most definitely not: I don't like what he says at all. 11 at all costs: whatever is necessary: The company must increase its sales at all costs. 12 at a loss:  a. frml. at a price less than original cost: I had to sell my house at a loss of $5,000. b. fig. not knowing what to do: I am at a loss as to how to solve the problem. 13 at any rate: anyhow, whatever the situation is: We lost some of our business in Chicago; at any rate, we made up for it with increases in California.",1
ax,"  or axe /ks/ n. axes /ksz/ 1 a cutting tool with a sharp metal head on a long wooden handle: He chopped the tree down with an ax. 2 infrml.fig. to get the ax: to be fired or eliminated from employment: Thursday afternoon, he got the ax. 3 infrml.fig. to give the ax: to fire or eliminate: Her boss gave her the ax. 4 infrml.fig. to have an ax to grind: to have a selfish, often hidden, reason to do s.t.: He has an ax to grind when he complains about the company; he really just wants more money.  v. [T] axed, axing, axes 1 to cut with an ax: The warrior was axed to death. 2 infrml.fig. to eliminate or dismiss: The corporation axed 200 employees all at one time.",1
bi,/ba/  short for bisexual,2
by,"/ba/  prep. 1 next to: The chair is by the door. 2 through the action of s.t.: She was hit by a car.||The letter was brought by a messenger. 3 across or past: The bird flew by the window.||The highway runs by the town. 4 not later than: You must wake up by 8 o'clock. 5 during: They traveled by night. 6 according to: He's five minutes late by my watch. 7 in the authority or presence of: If you hurt her, by God, I'll kill you! 8 for, (syn.) in behalf of: She's done well by her children. 9 in the amount, extent, or degree of: He takes pills by the dozen.||That star in the sky is brighter by far. 10 adding one direction of measurement to another: The room is 8' by 10', meaning that it is eight feet long and ten feet wide.  adv. 1 by and by: after a short period of time, (syn.) after a while: He's not ready yet, but he'll be here by and by. 2 by and large: looking at the whole situation, (syns.) on the whole, overall: He made a few mistakes, but by and large he did a good job. 3 by the by: by the way, (syn.) incidentally: By the by, have you seen her today? 4 infrml. by the seat of one's pants: casually, thoughtlessly: He runs the company by the seat of his pants. 5 by the way: introducing a new topic of conversation See: large.",1
cc,"/sisi/  n. abbr. for 1 carbon copy: I sent a memo to my boss with a cc to our lawyer. 2 cubic centimeterUsage Note: This abbreviation is often put at the end of a business letter to let the receiver of a letter know who else received a copy of the letter: I see that you sent a cc of this letter to my boss, so she should already know about our meeting.",1
CD,"/sidi/  n.abbr. for 1 certificate of deposit  2 compact disc: I bought two new CDs today, one with classical music and the other with rock. See: certificate of deposit.",2
'd,  contr. 1 would: He said he'd eat with us. 2 had: He said he'd already eaten. 3 did: Where'd he eat?,1
DC,/disi/  abbr. for direct current See: AC.,1
DJ,/dide/  n. See: disk jockey.,1
e-,  or E- prefix for electronic: e-mail; Ecommerce,1
el,"/l/  n. short for elevated railway: In Chicago, many people ride the el to work.",1
ER,  n.abbr. of emergency room,2
ex,"/ks/  n. exes 1 the letter x 2 slang short for ex-wife or ex-husband, one's former spouse: My ex and I are still friends. prefix ex- former: She is ex-treasurer of the company, now retired.",1
FM,/fm/  n. short for frequency modulation: My FM radio plays wonderful music.,1
G7,"/disvn/  n.pl. [U] short for the Group of Seven, the richest nations of the world: the USA, Canada, England, France, Germany, Italy, and Japan: The heads of state of G7 countries meet every year to discuss world problems, especially economic ones.",1
