word,definition,weight
"A, a","/e/  n. A's, a's or As, as, 1 the first letter of the English alphabet 2 the highest grade: I got an A on my history exam.",9
A.D.,/edi/  abbr. of anno Domini; (Latin for) the year of Jesus Christ's birth: The Spanish tried to invade England in 1588 A.D. See: B.C.,9
a.m.,"/em/  abbr. for ante meridiem, the time between 12:00 midnight and 11:59 in the morning: My meeting was at 9:00 A.M. today. See: ante meridiem.",9
abed,/bd/  adv.frml. old usage in bed: My grandfather's abed with the flu.,9
abet,"/bt/  v.frml. [T] abetted, abetting, abets to help, encourage: That man was jailed because he aided and abetted a friend who robbed a bank.",9
able,"/ebl/  adj. 1 skilled, competent: She is a very able teacher. 2 having the power to do s.t., (syn.) capable: After the surgery, he was able to walk again. 3 free to do s.t., ready: I am able to leave now; let's go.  n.pl. people who can move around and care for themselves: My grandparents are still among the able at the home for old people. See: ready.",9
ably,"/ebli/  adv. in a skilled manner, (syn.) competently: He fixed my car very ably.",9
abut,"/bt/  v.frml. [T] to touch on one side, border on: In New York City, buildings abut each other and there's no open space between them. -n. abutment.",9
ache,"/ek/  n. a dull, lasting pain: I have an ache in my leg from walking too much.||a toothache, headache, etc.  v. [I] ached, aching, aches 1 to feel a dull pain, hurt: My back aches every morning. 2 fig. to desire: I am aching to go on vacation.",9
achy,"/eki/  adj. having a dull pain: My body feels achy all over today, so I think I'll stay in bed.",9
acid,"/sd/  n. 1 [C] (in chemistry) a substance or liquid that has a sour taste, makes blue litmus paper turn red, or can react with a base to make salt: Acids are widely used in industry. 2 infrml. [U] slang for the dangerous illegal drug LSD: When he took acid, he could see, hear, and feel things that weren't really there.  adj. 1 having a sour, acid taste: Vinegar has a strong acid taste. 2 harsh, (syn.) biting: She made some acid comments about the poor quality of his writing. -adj. acidic /sdk/; -n. [U] acidity /sdti/.",9
acme,"/kmi/  n. the highest point of achievement, success, etc.: She reached the acme of perfection as an artist.",9
acne,"/kni/  n. [U] a skin condition of red spots (pimples), esp. on the face, common among teenagers: The doctor cured the boy's acne with a special cream.",9
acre,/ekr/  n. a square piece of land measuring 69.57 yards (63.57 m.) on each side: The farmer owns 150 acres of land.,9
afar,/fr/  adv.frml. a long way away: We had visitors who came from afar.,9
Afro,"/fro/  prefix. adj. related to Africa: Afro-American culture is widespread in the USA.  n. a type of round, fluffy hairstyle: Afros were popular in the 1960s.",9
ahoy,"/h/  exclam. (among sailors) a greeting, upon sighting another ship",9
AIDS,"/edz/  abbr. for acquired immune deficiency syndromeUsage Note: People with AIDS die because their bodies can't fight the illnesses they develop. As there is no cure for AIDS, private and government organizations are trying to teach the public how to stop the disease from spreading. Many community groups help feed and care for people living with AIDS. See: HIV. ",9
airs,"/rz/  n.pl. See: air, n., 3.",9
airy,"/ri/  adj. -ier, -iest open, (syn.) breezy: All the windows were open, giving the house an airy feeling. -adv. airily /rli/.",9
ajar,"/dr/  adj. slightly open: The door was ajar, so the cat was able to come in.",9
akin,"/kn/  adj. like, similar to: He writes romantic adventure stories akin to those of earlier writers.",9
alas,"/ls/  frml. exclam. of sadness, regret, or disappointment: Alas, my love, I must leave now.",9
