word,definition,weight
à la mode,"/lmod, l/  adj. served with ice cream: I love apple pie à la mode.",9
abandoned,"/bndnd/  adj. 1 left behind, (syn.) forsaken: The abandoned puppies were hungry. 2 empty, (syn.) deserted: Abandoned houses look sad.",9
abhorrent,"/bhornt, hr/  adj. hateful, (syn.) detestable: His cruelty to animals is  abhorrent.",9
abolition,"/bln/  n. [U] the stopping of s.t. by law, (syn.) prohibition: The abolition  of slavery in the USA occurred in the 19th  century. -n. [U] (act) abolitionism; (person) abolitionist.",9
aborigine,"/brdni/  n. a person whose ancestors were the original people living in a place, a native: The aborigines of Australia have lived there for thousands of years. -adj. aboriginal.",9
absorbent,"/bsrbnt, zr/  adj. able to absorb liquids: That paper towel is very  absorbent.",9
abundance,"/bndns/  n. [U] 1 many of s.t., plenty: Flowers grow in abundance in our garden. 2 wealth, (syn.) affluence: North America is a land of abundance.",9
accessory,"/kssri/  n. -ries 1 s.t. that adds to or enhances an item: Accessories to cars, like a stereo or telephone, make them more useful and enjoyable. 2 small items of clothing, such as jewelry, shoes, belts, purses, and ties: She bought a new suit, then shopped for accessories, including shoes and a purse to go with it. 3 a person who helps a criminal or takes part in a crime: The police charged him with being an accessory to a robbery.",9
acclimate,"/klmet/  v. [I;T] -mated, -mating, -mates to become used to a climate or place, (syn.) to adapt: We acclimated ourselves to the hot weather in Florida. -n. acclimation /klmen/; -v. [I;T] acclimatize /klamtaz/.",9
accompany,"/kmpni, kmpni/  v.frml. [T] -nied, -nying, -nied 1 to go with s.o. else, (syn.) to escort: I accompanied my friends to the party. 2 to play music in support of a singer or musician",9
accordion,/krdin/  n. a musical instrument played with the hands by forcing  air out through holes that  are opened and closed  with the fingers: My father plays country music on the  accordion.,9
acid test,"  n.frml. 1 fig.a test of the real worth or value of s.t.: The agreement to buy the house is signed, but the acid test is whether the buyer can make the first big payment on it. 2 a test for the quality of gold",9
acoustics,/kustks/  n.pl. 1 used with a sing. verb the scientific study of sound: Acoustics is an interesting field for engineers. 2 the effect of sound: The acoustics in the lecture hall are poor.,9
acquiesce,"/kwis/  v.frml. [I] -esced, -escing, -esces to agree to s.t. but usu. not willingly, (syn.) to yield: He acquiesced to her demands for money. -n. [U] acquiescence.",9
acquittal,"/kwtl/  n. (in law) the clearing of charges or accusations against s.o., (syn.) exoneration: His acquittal of all charges was a big victory for him.",9
actuality,"/ktulti/  n. [U] fact, (syn.) reality: In actuality, our costs are higher than we thought.",9
actualize,"/ktulaz/  v. [T] to put into action, (syn.) to realize: The government actualized its plan to stop crime. -n. [U] actualization /ktulzen/.",9
adaptable,"/dptbl/  adj. 1 capable of being changed and used for s.t. else: The movie producers think that book is adaptable because it's full of adventures; it should make a good movie. 2 capable of handling changes, flexible: The child is very adaptable; she will be happy in her new house and school.",9
addressee,"/drsi, drsi/  n. a person, business, etc. to whom s.t. is addressed: The addressee of that letter no longer lives here.",9
adherence,"/dhrns/  n.frml. [U] 1 ability to hold, such as glue, (syn.) adhesion: The glue does not have enough adherence to stick to the surface of the wall. 2 attention to laws, rules, etc., (syn.) obedience: He pays strict adherence to the rules in his work.",9
adjective,"/dktv/  n. a word that describes a noun: In the sentence ""The boy made a large sandwich,"" the word ""large"" is an adjective. -adj. adjectival /dktavl/.",9
admirable,/dmrbl/  adj. worthy of approval or respect: The way she manages her company is admirable. -adv. admirably.,9
admission,"/dmn/  n. 1 [U] entrance fee, the right to enter a place: Admission to the concert was $10 per person. 2 [U] acceptance at a university or school: She was offered admission to the local university. 3 [C] revealing s.t. secret, confession: He made an admission that he had stolen a candy bar. See: admittance.",9
adoration,"/dren/  n. [U] 1 religious worship, (syn.) veneration: Adoration of God is an act of religious faith. 2 frml. love, (syn.) infatuation: She was so beautiful that she was an object of adoration by many men.",9
adulation,"/dlen/  n.frml. [U] extreme praise, worship: The actor enjoyed the  adulation of his audience. -v. [T] adulate  /dlet/.",9
advantage,"/dvntd/  n. 1 [U] having greater ability or strength than s.o. else: The greater experience of our company gives us an advantage over our competitors. 2 [C] a good feature, benefit: The house is new and near a good school. It has many advantages. 3 to have all the advantages in life: to have the best, (syn.) to be privileged: She had all of the advantages in life, such as wealthy parents and fine schools. 4 to have an or the advantage: to be in a better position: Our product is cheaper than the others, so we have an advantage. 5 to take advantage of:  a. to use an opportunity: I will take advantage of my business trip to Paris to see the beautiful sights. b. to cheat s.o., (syn.) to exploit: The salesperson took advantage of me by charging me too much. >1 superiority, having the upper hand, edge  2 a plus, many pluses. Ant. disadvantage.",9
adventure,"/dvntr/  n. an exciting time (incident, event), (syn.) an exploit: Our camping trip turned into an adventure when we became lost and had to be rescued.",9
adversary,"/dvrsri, v/  n. -ries an opponent, (syn.) a foe: Two politicians (boxers, teams, etc.) are adversaries in the election.",9
adversity,"/dvrsti/  n. -ties 1 [C] bad luck, (syn.) misfortune: She has suffered much adversity in her life. 2 [U] a difficult situation (poverty, illness, etc.): She lives in adversity as a result of losing her job.",9
advertise,"/dvrtaz/  v. -tised, -tising, -tises 1 [I] to sell, (syn.) to promote a product or service: Our company advertises on television and in newspapers. 2 fig. [T] to announce, make known publicly: He advertised the fact that he is getting promoted.",9
advisable,"/dvazbl/  adj. strongly suggested for good reasons, recommended: It is advisable that you do your homework.",9
